Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,21936,21187,21097.0
00:05,20963,21026,21079.0
00:10,20963,21026,21062.0
00:15,20963,21026,20976.0
00:20,20963,20829,20916.0
00:25,20963,20829,20834.0
00:30,20963,20829,20766.0
00:35,20963,20567,20729.0
00:40,20963,20567,20654.0
00:45,20963,20567,20558.0
00:50,20963,20347,20475.0
00:55,20963,20347,20423.0
01:00,20963,20347,20357.0
01:05,20251,20135,20291.0
01:10,20251,20135,20260.0
01:15,20251,20135,20184.0
01:20,20251,19985,20141.0
01:25,20251,19985,20104.0
01:30,20251,19985,20050.0
01:35,20251,19859,20020.0
01:40,20251,19859,19961.0
01:45,20251,19859,19942.0
01:50,20251,19795,19917.0
01:55,20251,19795,19865.0
02:00,20251,19795,19820.0
02:05,19809,19721,19790.0
02:10,19809,19721,19774.0
02:15,19809,19721,19750.0
02:20,19809,19618,19705.0
02:25,19809,19618,19683.0
02:30,19809,19618,19647.0
02:35,19809,19537,19613.0
02:40,19809,19537,19589.0
02:45,19809,19537,19541.0
02:50,19809,19516,19525.0
02:55,19809,19516,19489.0
03:00,19809,19516,19489.0
03:05,19678,19504,19506.0
03:10,19678,19504,19536.0
03:15,19678,19504,19532.0
03:20,19678,19517,19521.0
03:25,19678,19517,19497.0
03:30,19678,19517,19485.0
03:35,19678,19532,19507.0
03:40,19678,19532,19524.0
03:45,19678,19532,19516.0
03:50,19678,19652,19526.0
03:55,19678,19652,19552.0
04:00,19678,19652,19616.0
04:05,20094,19812,19707.0
04:10,20094,19812,19742.0
04:15,20094,19812,19818.0
04:20,20094,20002,19894.0
04:25,20094,20002,19900.0
04:30,20094,20002,19938.0
04:35,20094,20131,20014.0
04:40,20094,20131,20074.0
04:45,20094,20131,20110.0
04:50,20094,20483,20203.0
04:55,20094,20483,20242.0
05:00,20094,20483,20319.0
05:05,21226,20834,20554.0
05:10,21226,20834,20759.0
05:15,21226,20834,20882.0
05:20,21226,21187,20988.0
05:25,21226,21187,21109.0
05:30,21226,21187,21169.0
05:35,21226,21388,21316.0
05:40,21226,21388,21437.0
05:45,21226,21388,21503.0
05:50,21226,21843,21571.0
05:55,21226,21843,21622.0
06:00,21226,21843,21709.0
06:05,22567,22295,21927.0
06:10,22567,22295,22131.0
06:15,22567,22295,22243.0
06:20,22567,22611,22388.0
06:25,22567,22611,22431.0
06:30,22567,22611,22501.0
06:35,22567,22884,22647.0
06:40,22567,22884,22820.0
06:45,22567,22884,22850.0
06:50,22567,23303,22953.0
06:55,22567,23303,23020.0
07:00,22567,23303,23124.0
07:05,23564,23563,23357.0
07:10,23564,23563,23588.0
07:15,23564,23563,23708.0
07:20,23564,23711,23797.0
07:25,23564,23711,23894.0
07:30,23564,23711,23983.0
07:35,23564,23914,24068.0
07:40,23564,23914,24120.0
07:45,23564,23914,24195.0
07:50,23564,24211,24226.0
07:55,23564,24211,24213.0
08:00,23564,24211,24173.0
08:05,23665,24326,24371.0
08:10,23665,24326,24420.0
08:15,23665,24326,24485.0
08:20,23665,24394,24503.0
08:25,23665,24394,24481.0
08:30,23665,24394,24491.0
08:35,23665,24324,24492.0
08:40,23665,24324,24464.0
08:45,23665,24324,24469.0
08:50,23665,24321,24406.0
08:55,23665,24321,24386.0
09:00,23665,24321,24325.0
09:05,23261,24251,24371.0
09:10,23261,24251,24371.0
09:15,23261,24251,24373.0
09:20,23261,24109,24296.0
09:25,23261,24109,24247.0
09:30,23261,24109,24190.0
09:35,23261,23998,24169.0
09:40,23261,23998,24096.0
09:45,23261,23998,24046.0
09:50,23261,23862,23920.0
09:55,23261,23862,23897.0
10:00,23261,23862,23866.0
10:05,22672,23670,23710.0
10:10,22672,23670,23653.0
10:15,22672,23670,23587.0
10:20,22672,23380,23580.0
10:25,22672,23380,23534.0
10:30,22672,23380,23495.0
10:35,22672,23191,23455.0
10:40,22672,23191,23436.0
10:45,22672,23191,23421.0
10:50,22672,23163,23387.0
10:55,22672,23163,23413.0
11:00,22672,23163,23406.0
11:05,22138,23249,23371.0
11:10,22138,23249,23241.0
11:15,22138,23249,23195.0
11:20,22138,23110,23184.0
11:25,22138,23110,23312.0
11:30,22138,23110,23279.0
11:35,22138,23115,23237.0
11:40,22138,23115,23197.0
11:45,22138,23115,23136.0
11:50,22138,23082,23151.0
11:55,22138,23082,23173.0
12:00,22138,23082,23155.0
12:05,21590,23061,23208.0
12:10,21590,23061,23197.0
12:15,21590,23061,23134.0
12:20,21590,23169,23125.0
12:25,21590,23169,23074.0
12:30,21590,23169,23057.0
12:35,21590,23089,23081.0
12:40,21590,23089,22943.0
12:45,21590,23089,22850.0
12:50,21590,22994,22913.0
12:55,21590,22994,22912.0
13:00,21590,22994,22894.0
13:05,21457,22964,22898.0
13:10,21457,22964,22929.0
13:15,21457,22964,22931.0
13:20,21457,22965,22923.0
13:25,21457,22965,22936.0
13:30,21457,22965,22961.0
13:35,21457,22967,22935.0
13:40,21457,22967,22904.0
13:45,21457,22967,22873.0
13:50,21457,23001,22940.0
13:55,21457,23001,22982.0
14:00,21457,23001,22970.0
14:05,21799,23075,22985.0
14:10,21799,23075,23024.0
14:15,21799,23075,23041.0
14:20,21799,23153,23069.0
14:25,21799,23153,23042.0
14:30,21799,23153,22999.0
14:35,21799,23262,23025.0
14:40,21799,23262,23192.0
14:45,21799,23262,23233.0
14:50,21799,23365,23306.0
14:55,21799,23365,23298.0
15:00,21799,23365,23346.0
15:05,22567,23570,23329.0
15:10,22567,23570,23289.0
15:15,22567,23570,23343.0
15:20,22567,23622,23388.0
15:25,22567,23622,23444.0
15:30,22567,23622,23425.0
15:35,22567,23727,23504.0
15:40,22567,23727,23587.0
15:45,22567,23727,23625.0
15:50,22567,23851,23725.0
15:55,22567,23851,23775.0
16:00,22567,23851,23900.0
16:05,23622,24096,23829.0
16:10,23622,24096,23884.0
16:15,23622,24096,24007.0
16:20,23622,24313,24021.0
