Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22712,22448,22391.0
00:05,21624,22186,22347.0
00:10,21624,22186,22375.0
00:15,21624,22186,22285.0
00:20,21624,21987,22195.0
00:25,21624,21987,22147.0
00:30,21624,21987,22042.0
00:35,21624,21750,21960.0
00:40,21624,21750,21897.0
00:45,21624,21750,21835.0
00:50,21624,21552,21757.0
00:55,21624,21552,21689.0
01:00,21624,21552,21644.0
01:05,20868,21388,21554.0
01:10,20868,21388,21479.0
01:15,20868,21388,21441.0
01:20,20868,21224,21404.0
01:25,20868,21224,21363.0
01:30,20868,21224,21288.0
01:35,20868,21104,21251.0
01:40,20868,21104,21196.0
01:45,20868,21104,21163.0
01:50,20868,20983,21069.0
01:55,20868,20983,21073.0
02:00,20868,20983,21020.0
02:05,20539,20895,21013.0
02:10,20539,20895,21011.0
02:15,20539,20895,20965.0
02:20,20539,20838,20925.0
02:25,20539,20838,20906.0
02:30,20539,20838,20875.0
02:35,20539,20754,20841.0
02:40,20539,20754,20780.0
02:45,20539,20754,20780.0
02:50,20539,20733,20779.0
02:55,20539,20733,20742.0
03:00,20539,20733,20713.0
03:05,20404,20749,20761.0
03:10,20404,20749,20762.0
03:15,20404,20749,20767.0
03:20,20404,20771,20753.0
03:25,20404,20771,20755.0
03:30,20404,20771,20765.0
03:35,20404,20779,20716.0
03:40,20404,20779,20760.0
03:45,20404,20779,20794.0
03:50,20404,20939,20805.0
03:55,20404,20939,20811.0
04:00,20404,20939,20815.0
04:05,20892,21096,20903.0
04:10,20892,21096,21014.0
04:15,20892,21096,21062.0
04:20,20892,21238,21123.0
04:25,20892,21238,21148.0
04:30,20892,21238,21202.0
04:35,20892,21431,21260.0
04:40,20892,21431,21329.0
04:45,20892,21431,21368.0
04:50,20892,21834,21439.0
04:55,20892,21834,21514.0
05:00,20892,21834,21667.0
05:05,22181,22261,21894.0
05:10,22181,22261,22205.0
05:15,22181,22261,22310.0
05:20,22181,22649,22400.0
05:25,22181,22649,22491.0
05:30,22181,22649,22580.0
05:35,22181,23018,22760.0
05:40,22181,23018,22884.0
05:45,22181,23018,22950.0
05:50,22181,23733,23101.0
05:55,22181,23733,23208.0
06:00,22181,23733,23409.0
06:05,24285,24352,23751.0
06:10,24285,24352,24066.0
06:15,24285,24352,24204.0
06:20,24285,24773,24361.0
06:25,24285,24773,24519.0
06:30,24285,24773,24642.0
06:35,24285,25026,24777.0
06:40,24285,25026,24878.0
06:45,24285,25026,24978.0
06:50,24285,25466,25076.0
06:55,24285,25466,25170.0
07:00,24285,25466,25283.0
07:05,25637,25635,25499.0
07:10,25637,25635,25592.0
07:15,25637,25635,25724.0
07:20,25637,25701,25766.0
07:25,25637,25701,25801.0
07:30,25637,25701,25816.0
07:35,25637,25794,25875.0
07:40,25637,25794,25947.0
07:45,25637,25794,25993.0
07:50,25637,26042,25984.0
07:55,25637,26042,25995.0
08:00,25637,26042,26020.0
08:05,26091,26101,26182.0
08:10,26091,26101,26321.0
08:15,26091,26101,26417.0
08:20,26091,26216,26394.0
08:25,26091,26216,26426.0
08:30,26091,26216,26330.0
08:35,26091,26207,26303.0
08:40,26091,26207,26294.0
08:45,26091,26207,26248.0
08:50,26091,26124,26190.0
08:55,26091,26124,26120.0
09:00,26091,26124,25982.0
09:05,25403,25925,25950.0
09:10,25403,25925,25907.0
09:15,25403,25925,25894.0
09:20,25403,25600,25786.0
09:25,25403,25600,25610.0
09:30,25403,25600,25362.0
09:35,25403,25357,25390.0
09:40,25403,25357,25338.0
09:45,25403,25357,25314.0
09:50,25403,25001,25224.0
09:55,25403,25001,25196.0
10:00,25403,25001,25158.0
10:05,24632,24885,25156.0
10:10,24632,24885,25058.0
10:15,24632,24885,25053.0
10:20,24632,24710,24966.0
10:25,24632,24710,24904.0
10:30,24632,24710,24841.0
10:35,24632,24571,24786.0
10:40,24632,24571,24793.0
10:45,24632,24571,24855.0
10:50,24632,24602,24813.0
10:55,24632,24602,24807.0
11:00,24632,24602,24774.0
11:05,24099,24657,24729.0
11:10,24099,24657,24775.0
