Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,24679,23965,23932.0
00:05,23238,23715,23843.0
00:10,23238,23715,23741.0
00:15,23238,23715,23635.0
00:20,23238,23416,23562.0
00:25,23238,23416,23491.0
00:30,23238,23416,23389.0
00:35,23238,23121,23269.0
00:40,23238,23121,23205.0
00:45,23238,23121,23087.0
00:50,23238,22855,23009.0
00:55,23238,22855,22893.0
01:00,23238,22855,22792.0
01:05,22129,22643,22743.0
01:10,22129,22643,22655.0
01:15,22129,22643,22592.0
01:20,22129,22381,22492.0
01:25,22129,22381,22450.0
01:30,22129,22381,22383.0
01:35,22129,22116,22286.0
01:40,22129,22116,22204.0
01:45,22129,22116,22102.0
01:50,22129,21955,21996.0
01:55,22129,21955,21941.0
02:00,22129,21955,21873.0
02:05,21428,21751,21814.0
02:10,21428,21751,21795.0
02:15,21428,21751,21750.0
02:20,21428,21574,21716.0
02:25,21428,21574,21692.0
02:30,21428,21574,21610.0
02:35,21428,21407,21524.0
02:40,21428,21407,21466.0
02:45,21428,21407,21423.0
02:50,21428,21336,21372.0
02:55,21428,21336,21331.0
03:00,21428,21336,21275.0
03:05,21136,21287,21215.0
03:10,21136,21287,21215.0
03:15,21136,21287,21215.0
03:20,21136,21219,21192.0
03:25,21136,21219,21178.0
03:30,21136,21219,21166.0
03:35,21136,21130,21162.0
03:40,21136,21130,21149.0
03:45,21136,21130,21154.0
03:50,21136,21129,21153.0
03:55,21136,21129,21147.0
04:00,21136,21129,21173.0
04:05,21452,21310,21235.0
04:10,21452,21310,21291.0
04:15,21452,21310,21338.0
04:20,21452,21420,21362.0
04:25,21452,21420,21421.0
04:30,21452,21420,21445.0
04:35,21452,21550,21521.0
04:40,21452,21550,21577.0
04:45,21452,21550,21634.0
04:50,21452,21742,21681.0
04:55,21452,21742,21755.0
05:00,21452,21742,21853.0
05:05,22535,22186,22069.0
05:10,22535,22186,22231.0
05:15,22535,22186,22349.0
05:20,22535,22502,22523.0
05:25,22535,22502,22634.0
05:30,22535,22502,22638.0
05:35,22535,22692,22747.0
05:40,22535,22692,22734.0
05:45,22535,22692,22774.0
05:50,22535,22900,22763.0
05:55,22535,22900,22852.0
06:00,22535,22900,22905.0
06:05,23753,23372,23074.0
06:10,23753,23372,23294.0
06:15,23753,23372,23463.0
06:20,23753,23717,23607.0
06:25,23753,23717,23655.0
06:30,23753,23717,23761.0
06:35,23753,24004,23835.0
06:40,23753,24004,23871.0
06:45,23753,24004,23987.0
06:50,23753,24378,23995.0
06:55,23753,24378,24113.0
07:00,23753,24378,24148.0
07:05,24796,24601,24268.0
07:10,24796,24601,24402.0
07:15,24796,24601,24370.0
07:20,24796,24717,24476.0
07:25,24796,24717,24509.0
07:30,24796,24717,24532.0
07:35,24796,24675,24558.0
07:40,24796,24675,24648.0
07:45,24796,24675,24650.0
07:50,24796,24693,24641.0
07:55,24796,24693,24638.0
08:00,24796,24693,24656.0
08:05,24880,24893,24749.0
08:10,24880,24893,24861.0
08:15,24880,24893,24833.0
08:20,24880,24890,24837.0
08:25,24880,24890,24848.0
08:30,24880,24890,24846.0
08:35,24880,24959,24870.0
08:40,24880,24959,24894.0
08:45,24880,24959,24833.0
08:50,24880,24976,24796.0
08:55,24880,24976,24766.0
09:00,24880,24976,24803.0
09:05,24814,24953,24875.0
09:10,24814,24953,24792.0
09:15,24814,24953,24758.0
09:20,24814,24842,24758.0
09:25,24814,24842,24744.0
09:30,24814,24842,24776.0
09:35,24814,24771,24656.0
09:40,24814,24771,24644.0
09:45,24814,24771,24510.0
09:50,24814,24726,24458.0
09:55,24814,24726,24501.0
10:00,24814,24726,24527.0
10:05,24620,24613,24486.0
10:10,24620,24613,24509.0
10:15,24620,24613,24482.0
10:20,24620,24535,24436.0
10:25,24620,24535,24440.0
10:30,24620,24535,24485.0
10:35,24620,24397,24472.0
10:40,24620,24397,24438.0
10:45,24620,24397,24500.0
10:50,24620,24389,24521.0
10:55,24620,24389,24569.0
11:00,24620,24389,24514.0
11:05,24534,24599,24586.0
11:10,24534,24599,24598.0
11:15,24534,24599,24610.0
11:20,24534,24616,24626.0
11:25,24534,24616,24670.0
11:30,24534,24616,24587.0
11:35,24534,24589,24622.0
11:40,24534,24589,24617.0
11:45,24534,24589,24652.0
11:50,24534,24539,24624.0
11:55,24534,24539,24550.0
12:00,24534,24539,24533.0
12:05,24591,24548,24629.0
12:10,24591,24548,24608.0
12:15,24591,24548,24671.0
12:20,24591,24692,24651.0
12:25,24591,24692,24713.0
12:30,24591,24692,24729.0
12:35,24591,24892,24736.0
12:40,24591,24892,24781.0
12:45,24591,24892,24824.0
12:50,24591,25096,24905.0
12:55,24591,25096,24985.0
13:00,24591,25096,25016.0
13:05,25212,25171,25082.0
13:10,25212,25171,25168.0
13:15,25212,25171,25251.0
13:20,25212,25378,25347.0
13:25,25212,25378,25364.0
13:30,25212,25378,25400.0
13:35,25212,25545,25383.0
13:40,25212,25545,25517.0
13:45,25212,25545,25606.0
13:50,25212,25725,25663.0
13:55,25212,25725,25669.0
14:00,25212,25725,25797.0
14:05,25977,25791,25862.0
14:10,25977,25791,25974.0
14:15,25977,25791,25982.0
14:20,25977,26157,26093.0
14:25,25977,26157,26114.0
14:30,25977,26157,26181.0
14:35,25977,26303,26267.0
14:40,25977,26303,26360.0
14:45,25977,26303,26458.0
14:50,25977,26490,26496.0
14:55,25977,26490,26597.0
15:00,25977,26490,26634.0
15:05,26959,26909,26741.0
15:10,26959,26909,26853.0
