Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,21421,20675,20612.0
00:05,20115,20481,20586.0
00:10,20115,20481,20595.0
00:15,20115,20481,20501.0
00:20,20115,20266,20415.0
00:25,20115,20266,20348.0
00:30,20115,20266,20279.0
00:35,20115,20038,20210.0
00:40,20115,20038,20187.0
00:45,20115,20038,20130.0
00:50,20115,19899,20057.0
00:55,20115,19899,19986.0
01:00,20115,19899,19907.0
01:05,19419,19770,19863.0
01:10,19419,19770,19816.0
01:15,19419,19770,19775.0
01:20,19419,19620,19746.0
01:25,19419,19620,19646.0
01:30,19419,19620,19616.0
01:35,19419,19467,19591.0
01:40,19419,19467,19546.0
01:45,19419,19467,19496.0
01:50,19419,19395,19484.0
01:55,19419,19395,19447.0
02:00,19419,19395,19427.0
02:05,19013,19314,19384.0
02:10,19013,19314,19384.0
02:15,19013,19314,19332.0
02:20,19013,19245,19312.0
02:25,19013,19245,19288.0
02:30,19013,19245,19257.0
02:35,19013,19208,19246.0
02:40,19013,19208,19243.0
02:45,19013,19208,19214.0
02:50,19013,19211,19188.0
02:55,19013,19211,19223.0
03:00,19013,19211,19182.0
03:05,18984,19250,19215.0
03:10,18984,19250,19242.0
03:15,18984,19250,19226.0
03:20,18984,19247,19236.0
03:25,18984,19247,19234.0
03:30,18984,19247,19228.0
03:35,18984,19295,19248.0
03:40,18984,19295,19268.0
03:45,18984,19295,19279.0
03:50,18984,19474,19295.0
03:55,18984,19474,19297.0
04:00,18984,19474,19304.0
04:05,19473,19643,19418.0
04:10,19473,19643,19536.0
04:15,19473,19643,19570.0
04:20,19473,19789,19621.0
04:25,19473,19789,19685.0
04:30,19473,19789,19742.0
04:35,19473,20009,19822.0
04:40,19473,20009,19875.0
04:45,19473,20009,19963.0
04:50,19473,20433,20014.0
04:55,19473,20433,20080.0
05:00,19473,20433,20201.0
05:05,20875,20862,20411.0
05:10,20875,20862,20598.0
05:15,20875,20862,20729.0
05:20,20875,21221,20850.0
05:25,20875,21221,20902.0
05:30,20875,21221,21036.0
05:35,20875,21570,21190.0
05:40,20875,21570,21335.0
05:45,20875,21570,21457.0
05:50,20875,22294,21597.0
05:55,20875,22294,21707.0
06:00,20875,22294,21894.0
06:05,23065,22902,22207.0
06:10,23065,22902,22548.0
06:15,23065,22902,22738.0
06:20,23065,23347,22907.0
06:25,23065,23347,23025.0
06:30,23065,23347,23165.0
06:35,23065,23714,23321.0
06:40,23065,23714,23487.0
06:45,23065,23714,23601.0
06:50,23065,24085,23735.0
06:55,23065,24085,23798.0
07:00,23065,24085,23903.0
07:05,24080,24323,24098.0
07:10,24080,24323,24249.0
07:15,24080,24323,24352.0
07:20,24080,24436,24438.0
07:25,24080,24436,24482.0
07:30,24080,24436,24533.0
07:35,24080,24483,24533.0
07:40,24080,24483,24598.0
07:45,24080,24483,24612.0
07:50,24080,24575,24603.0
07:55,24080,24575,24538.0
08:00,24080,24575,24618.0
