Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,23452,22480,22460.0
00:05,22221,22301,22396.0
00:10,22221,22301,22347.0
00:15,22221,22301,22288.0
00:20,22221,22105,22218.0
00:25,22221,22105,22145.0
00:30,22221,22105,22037.0
00:35,22221,21797,21964.0
00:40,22221,21797,21895.0
00:45,22221,21797,21798.0
00:50,22221,21594,21723.0
00:55,22221,21594,21724.0
01:00,22221,21594,21593.0
01:05,21487,21418,21539.0
01:10,21487,21418,21498.0
01:15,21487,21418,21446.0
01:20,21487,21216,21383.0
01:25,21487,21216,21317.0
01:30,21487,21216,21241.0
01:35,21487,21066,21200.0
01:40,21487,21066,21177.0
01:45,21487,21066,21108.0
01:50,21487,20975,21080.0
01:55,21487,20975,20997.0
02:00,21487,20975,20936.0
02:05,21054,20886,20923.0
02:10,21054,20886,20884.0
02:15,21054,20886,20866.0
02:20,21054,20759,20846.0
02:25,21054,20759,20789.0
02:30,21054,20759,20781.0
02:35,21054,20670,20747.0
02:40,21054,20670,20748.0
02:45,21054,20670,20737.0
02:50,21054,20690,20698.0
02:55,21054,20690,20692.0
03:00,21054,20690,20677.0
03:05,20990,20712,20693.0
03:10,20990,20712,20701.0
03:15,20990,20712,20734.0
03:20,20990,20725,20713.0
03:25,20990,20725,20747.0
03:30,20990,20725,20730.0
03:35,20990,20767,20761.0
03:40,20990,20767,20762.0
03:45,20990,20767,20769.0
03:50,20990,20925,20764.0
03:55,20990,20925,20801.0
04:00,20990,20925,20835.0
04:05,21576,21111,20933.0
04:10,21576,21111,20995.0
04:15,21576,21111,21102.0
04:20,21576,21310,21166.0
04:25,21576,21310,21197.0
04:30,21576,21310,21246.0
04:35,21576,21559,21384.0
04:40,21576,21559,21468.0
04:45,21576,21559,21539.0
04:50,21576,22014,21580.0
04:55,21576,22014,21680.0
05:00,21576,22014,21795.0
05:05,23105,22406,22019.0
05:10,23105,22406,22223.0
05:15,23105,22406,22379.0
05:20,23105,22826,22536.0
05:25,23105,22826,22622.0
05:30,23105,22826,22705.0
05:35,23105,23265,22857.0
05:40,23105,23265,23022.0
05:45,23105,23265,23141.0
05:50,23105,23954,23300.0
05:55,23105,23954,23410.0
06:00,23105,23954,23562.0
06:05,25429,24648,23973.0
06:10,25429,24648,24265.0
06:15,25429,24648,24496.0
06:20,25429,25114,24649.0
06:25,25429,25114,24802.0
06:30,25429,25114,24909.0
06:35,25429,25372,25060.0
06:40,25429,25372,25208.0
06:45,25429,25372,25312.0
06:50,25429,25720,25385.0
06:55,25429,25720,25479.0
07:00,25429,25720,25549.0
07:05,26531,25890,25783.0
07:10,26531,25890,26015.0
07:15,26531,25890,26162.0
07:20,26531,25982,26234.0
07:25,26531,25982,26225.0
07:30,26531,25982,26254.0
07:35,26531,26076,26322.0
07:40,26531,26076,26363.0
07:45,26531,26076,26344.0
07:50,26531,26218,26379.0
07:55,26531,26218,26328.0
08:00,26531,26218,26318.0
08:05,26185,26260,26380.0
08:10,26185,26260,26457.0
08:15,26185,26260,26349.0
08:20,26185,26144,26289.0
08:25,26185,26144,26227.0
08:30,26185,26144,26145.0
08:35,26185,25742,25989.0
08:40,26185,25742,25902.0
08:45,26185,25742,25825.0
08:50,26185,25477,25791.0
08:55,26185,25477,25698.0
09:00,26185,25477,25625.0
09:05,25244,25324,25552.0
09:10,25244,25324,25451.0
09:15,25244,25324,25341.0
09:20,25244,25020,25282.0
09:25,25244,25020,25201.0
09:30,25244,25020,25123.0
09:35,25244,24751,25028.0
09:40,25244,24751,24916.0
09:45,25244,24751,24853.0
09:50,25244,24547,24738.0
09:55,25244,24547,24743.0
10:00,25244,24547,24612.0
10:05,24487,24331,24537.0
10:10,24487,24331,24474.0
10:15,24487,24331,24357.0
10:20,24487,24108,24264.0
10:25,24487,24108,24221.0
10:30,24487,24108,24121.0
10:35,24487,23891,24073.0
10:40,24487,23891,24027.0
10:45,24487,23891,23957.0
10:50,24487,23758,23803.0
10:55,24487,23758,23664.0
11:00,24487,23758,23596.0
11:05,24013,23514,23571.0
11:10,24013,23514,23590.0
11:15,24013,23514,23565.0
11:20,24013,23430,23498.0
11:25,24013,23430,23478.0
11:30,24013,23430,23472.0
11:35,24013,23419,23438.0
11:40,24013,23419,23428.0
11:45,24013,23419,23403.0
11:50,24013,23397,23390.0
11:55,24013,23397,23397.0
12:00,24013,23397,23328.0
12:05,23719,23394,23352.0
12:10,23719,23394,23389.0
12:15,23719,23394,23395.0
12:20,23719,23439,23394.0
12:25,23719,23439,23386.0
12:30,23719,23439,23436.0
12:35,23719,23481,23412.0
12:40,23719,23481,23396.0
12:45,23719,23481,23462.0
12:50,23719,23529,23460.0
12:55,23719,23529,23462.0
13:00,23719,23529,23472.0
13:05,23874,23645,23385.0
13:10,23874,23645,23341.0
13:15,23874,23645,23377.0
13:20,23874,23629,23329.0
13:25,23874,23629,23364.0
13:30,23874,23629,23403.0
13:35,23874,23635,23442.0
13:40,23874,23635,23238.0
13:45,23874,23635,23298.0
13:50,23874,23565,23451.0
13:55,23874,23565,23516.0
14:00,23874,23565,23621.0
14:05,24406,23710,23658.0
14:10,24406,23710,23704.0
14:15,24406,23710,23777.0
14:20,24406,23930,23823.0
14:25,24406,23930,23850.0
14:30,24406,23930,23818.0
14:35,24406,24073,23879.0
14:40,24406,24073,23859.0
14:45,24406,24073,23956.0
14:50,24406,24212,24043.0
14:55,24406,24212,24080.0
15:00,24406,24212,24147.0
15:05,25402,24527,24161.0
15:10,25402,24527,24231.0
15:15,25402,24527,24315.0
15:20,25402,24695,24404.0
15:25,25402,24695,24464.0
15:30,25402,24695,24521.0
15:35,25402,25039,24718.0
15:40,25402,25039,24764.0
15:45,25402,25039,24868.0
15:50,25402,25325,25005.0
15:55,25402,25325,25233.0
16:00,25402,25325,25444.0
16:05,26934,25701,25547.0
16:10,26934,25701,25661.0
16:15,26934,25701,25794.0
16:20,26934,26395,25848.0
16:25,26934,26395,25932.0
16:30,26934,26395,26159.0
16:35,26934,27343,26386.0
16:40,26934,27343,26697.0
16:45,26934,27343,26961.0
16:50,26934,28291,27214.0
16:55,26934,28291,27635.0
