Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22450,21161,21174.0
00:05,21002,21027,21154.0
00:10,21002,21027,21128.0
00:15,21002,21027,21045.0
00:20,21002,20815,20915.0
00:25,21002,20815,20840.0
00:30,21002,20815,20741.0
00:35,21002,20645,20630.0
00:40,21002,20645,20541.0
00:45,21002,20645,20509.0
00:50,21002,20340,20499.0
00:55,21002,20340,20395.0
01:00,21002,20340,20306.0
01:05,20243,20198,20241.0
01:10,20243,20198,20256.0
01:15,20243,20198,20167.0
01:20,20243,20023,20092.0
01:25,20243,20023,20057.0
01:30,20243,20023,19997.0
01:35,20243,19849,19923.0
01:40,20243,19849,19923.0
01:45,20243,19849,19868.0
01:50,20243,19745,19827.0
01:55,20243,19745,19757.0
02:00,20243,19745,19682.0
02:05,19756,19678,19738.0
02:10,19756,19678,19764.0
02:15,19756,19678,19677.0
02:20,19756,19594,19587.0
02:25,19756,19594,19603.0
02:30,19756,19594,19552.0
02:35,19756,19593,19516.0
02:40,19756,19593,19502.0
02:45,19756,19593,19435.0
02:50,19756,19471,19372.0
02:55,19756,19471,19397.0
03:00,19756,19471,19409.0
03:05,19594,19446,19407.0
03:10,19594,19446,19345.0
03:15,19594,19446,19403.0
03:20,19594,19434,19387.0
03:25,19594,19434,19372.0
03:30,19594,19434,19369.0
03:35,19594,19434,19315.0
03:40,19594,19434,19322.0
03:45,19594,19434,19355.0
03:50,19594,19481,19402.0
03:55,19594,19481,19439.0
04:00,19594,19481,19498.0
04:05,20089,19663,19497.0
04:10,20089,19663,19512.0
04:15,20089,19663,19539.0
04:20,20089,19819,19593.0
04:25,20089,19819,19648.0
04:30,20089,19819,19622.0
04:35,20089,19934,19674.0
04:40,20089,19934,19819.0
04:45,20089,19934,19874.0
04:50,20089,20059,19937.0
04:55,20089,20059,19959.0
05:00,20089,20059,20101.0
05:05,21405,20481,20258.0
05:10,21405,20481,20443.0
05:15,21405,20481,20546.0
05:20,21405,20873,20670.0
05:25,21405,20873,20762.0
05:30,21405,20873,20844.0
05:35,21405,21167,21093.0
05:40,21405,21167,21145.0
05:45,21405,21167,21238.0
05:50,21405,21303,21316.0
05:55,21405,21303,21375.0
06:00,21405,21303,21485.0
06:05,22927,21973,21690.0
06:10,22927,21973,21949.0
06:15,22927,21973,22065.0
06:20,22927,22423,22120.0
06:25,22927,22423,22323.0
06:30,22927,22423,22409.0
06:35,22927,22830,22555.0
06:40,22927,22830,22671.0
06:45,22927,22830,22758.0
06:50,22927,23124,22831.0
06:55,22927,23124,22931.0
07:00,22927,23124,23038.0
07:05,24307,23409,23137.0
07:10,24307,23409,23228.0
07:15,24307,23409,23270.0
07:20,24307,23682,23360.0
07:25,24307,23682,23351.0
07:30,24307,23682,23329.0
07:35,24307,23490,23338.0
07:40,24307,23490,23388.0
07:45,24307,23490,23441.0
07:50,24307,23305,23417.0
07:55,24307,23305,23417.0
08:00,24307,23305,23337.0
08:05,24633,23494,23278.0
08:10,24633,23494,23349.0
08:15,24633,23494,23379.0
08:20,24633,23471,23387.0
08:25,24633,23471,23237.0
08:30,24633,23471,23226.0
08:35,24633,23315,23187.0
08:40,24633,23315,23170.0
08:45,24633,23315,23180.0
08:50,24633,23178,23131.0
08:55,24633,23178,23144.0
09:00,24633,23178,23251.0
09:05,24359,23135,23320.0
09:10,24359,23135,23337.0
09:15,24359,23135,23239.0
09:20,24359,23073,23216.0
09:25,24359,23073,23169.0
09:30,24359,23073,23172.0
09:35,24359,23242,23203.0
09:40,24359,23242,23231.0
09:45,24359,23242,23129.0
09:50,24359,23094,23003.0
09:55,24359,23094,22958.0
10:00,24359,23094,22954.0
10:05,24052,22973,22952.0
10:10,24052,22973,22883.0
10:15,24052,22973,22938.0
10:20,24052,22860,22986.0
10:25,24052,22860,22948.0
10:30,24052,22860,22995.0
10:35,24052,22764,22864.0
10:40,24052,22764,22739.0
10:45,24052,22764,22784.0
10:50,24052,22827,22859.0
10:55,24052,22827,22824.0
11:00,24052,22827,22705.0
11:05,23704,22690,22702.0
11:10,23704,22690,22793.0
11:15,23704,22690,22778.0
11:20,23704,22603,22694.0
11:25,23704,22603,22580.0
11:30,23704,22603,22523.0
11:35,23704,22614,22620.0
11:40,23704,22614,22622.0
11:45,23704,22614,22519.0
11:50,23704,22387,22439.0
11:55,23704,22387,22378.0
12:00,23704,22387,22232.0
12:05,23204,22255,22213.0
12:10,23204,22255,22302.0
12:15,23204,22255,22298.0
12:20,23204,22114,22239.0
12:25,23204,22114,22198.0
12:30,23204,22114,22191.0
12:35,23204,22143,22176.0
12:40,23204,22143,22176.0
12:45,23204,22143,22091.0
12:50,23204,22194,22030.0
12:55,23204,22194,22038.0
13:00,23204,22194,22004.0
13:05,23184,22037,21967.0
13:10,23184,22037,21918.0
13:15,23184,22037,21827.0
13:20,23184,22020,21853.0
13:25,23184,22020,21970.0
13:30,23184,22020,21966.0
13:35,23184,21779,21956.0
13:40,23184,21779,21943.0
13:45,23184,21779,21922.0
13:50,23184,21876,21921.0
13:55,23184,21876,21953.0
14:00,23184,21876,21939.0
14:05,23218,21956,21978.0
14:10,23218,21956,22081.0
14:15,23218,21956,22137.0
14:20,23218,21952,22193.0
14:25,23218,21952,22216.0
14:30,23218,21952,22120.0
14:35,23218,22133,22142.0
14:40,23218,22133,22129.0
14:45,23218,22133,22143.0
14:50,23218,22251,22172.0
14:55,23218,22251,22242.0
15:00,23218,22251,22291.0
15:05,23346,22339,22404.0
15:10,23346,22339,22378.0
15:15,23346,22339,22262.0
15:20,23346,22466,22319.0
15:25,23346,22466,22335.0
15:30,23346,22466,22381.0
15:35,23346,22583,22404.0
15:40,23346,22583,22399.0
15:45,23346,22583,22491.0
