Date,Sources,Demands
2019-01-01,-0.5936934239670252,-0.570568966119188
2019-01-02,-0.5905185404627018,-0.11519399651609903
2019-01-03,-0.15131672875519936,-0.27694754692423845
2019-01-04,-0.2028662034108419,-0.36856944416361215
2019-01-05,-0.8094547310839894,-0.6921305509093771
2019-01-06,-0.5690423123111006,-0.6824832873500348
2019-01-07,-0.6599526307379158,-0.14903988248617073
2019-01-08,-0.32354336478638546,-0.33674601983071456
2019-01-09,-0.4838908121754032,-0.366166527348379
2019-01-10,-0.24287515809047036,-0.328985661979316
2019-01-11,-0.30618955000678244,-0.411944430672953
2019-01-12,-0.6913457316551879,-0.604603816761302
2019-01-13,-0.7406696334206585,-0.7553791414130251
2019-01-14,-0.03552127724319334,-0.23146464550834772
2019-01-15,-0.5169130615435126,-0.29689368639120417
2019-01-16,-0.38393187965995473,-0.3313572074164414
2019-01-17,-0.35566145918801034,-0.3160342182421025
2019-01-18,-0.32942669203364044,-0.4157095827598854
2019-01-19,-0.5902932510054127,-0.6368269665824403
2019-01-20,-0.708765296318952,-0.7234487998946646
2019-01-21,-0.4712226870842128,-0.5374240644440075
2019-01-22,-0.19455993551520406,-0.08800931153702697
2019-01-23,-0.41288206795577087,-0.23747376480081062
2019-01-24,-0.09483257365337248,-0.18527936968997535
2019-01-25,-0.2040101238017972,-0.28995590471235455
2019-01-26,-0.657638034591888,-0.7034321755391534
2019-01-27,-0.8508209149144548,-0.780760472220996
2019-01-28,-0.42028320103269223,-0.23893005971402886
2019-01-29,-0.66150643787625,-0.37020873457011766
2019-01-30,-0.35712543465150165,-0.34150792782771466
2019-01-31,-0.4916585873092606,-0.3708725221328436
2019-02-01,-0.4776176539074888,-0.38758383599498003
2019-02-02,-0.8250000285094833,-0.6403033039106606
2019-02-03,-0.5816676199863107,-0.6372780374527197
2019-02-04,-0.16718817171371372,-0.272205382706927
2019-02-05,-0.4674207269417346,-0.37139475491501317
2019-02-06,0.13292935834998953,-0.07248819731414627
2019-02-07,0.12647130932706,-0.06900824911330035
2019-02-08,-0.12017254825572288,-0.19858097280547746
2019-02-09,-0.7354555684763999,-0.6681392629357944
2019-02-10,-0.8040445206612991,-0.8352776066259124
2019-02-11,-0.044071833260215104,0.13694458201859275
2019-02-12,-0.1885910355968979,-0.054552543180862376
2019-02-13,-0.245765417586371,-0.34070768162632936
2019-02-14,-0.39704133772117317,-0.40298462818660846
2019-02-15,-0.3846388582583972,-0.3986403808619686
2019-02-16,-0.6470216582407285,-0.7355464160631352
2019-02-17,-0.9205035814323229,-0.9222482530544223
2019-02-18,-0.653502275599774,-0.5993243656796238
2019-02-19,0.3051526291858304,0.10629406540726222
2019-02-20,-0.19536292850884965,-0.09474885178103847
2019-02-21,-0.15769378931057548,-0.14299131277740773
2019-02-22,0.012281345860743675,-0.11977198354977536
2019-02-23,-0.7747903743512167,-0.7969684370648157
2019-02-24,-0.9775282724268781,-0.8557034997619658
2019-02-25,-0.30340196332098507,-0.05081784597359037
2019-02-26,-0.5308154847350169,-0.3480024633979978
2019-02-27,-0.5962466640238505,-0.4764975750996189
