Date,Sources,Demands
2019-01-01,-0.3597395310515901,-0.4858608120284491
2019-01-02,-0.6448813055177913,-0.41555529640723216
2019-01-03,-0.43260813244990337,-0.5889228443434956
2019-01-04,-0.517684709606719,-0.6418408965844064
2019-01-05,-0.5387181701018134,-0.7157597113741039
2019-01-06,-0.4643697286362863,-0.5813261717565339
2019-01-07,-0.3551097139920744,-0.3440036421124999
2019-01-08,-0.44204424907846607,-0.4621609832165012
2019-01-09,-0.46310029900056393,-0.4744918251947792
2019-01-10,-0.4632955745821386,-0.5165281419188665
2019-01-11,-0.5008746735190126,-0.5819646910829218
2019-01-12,-0.6514553773545105,-0.7692660013316455
2019-01-13,-0.49819210787458174,-0.5940935479679441
2019-01-14,-0.008402147119264255,-0.06390295573136688
2019-01-15,-0.19172826542652774,-0.22881150636588188
2019-01-16,-0.2937171414216856,-0.27465627319130426
2019-01-17,-0.28632106715806754,-0.2553124084262436
2019-01-18,-0.5261745998514499,-0.578267894187357
2019-01-19,-0.6751569506533717,-0.7680207091818018
2019-01-20,-0.5715184767413689,-0.6319134708376468
2019-01-21,-0.32104171835660206,-0.35404903562643175
2019-01-22,-0.4247237088962352,-0.45909069675774244
2019-01-23,-0.47145268816836067,-0.5258293643343166
2019-01-24,-0.5031095058661955,-0.5578270539003788
2019-01-25,-0.5435384470862695,-0.6321846297242181
2019-01-26,-0.6839619862342182,-0.7769997345581566
2019-01-27,-0.5351773483580584,-0.5906684272091308
2019-01-28,-0.3458458880214829,-0.35083745656060494
2019-01-29,-0.49051314552831865,-0.5128782512244484
2019-01-30,-0.44818826168979653,-0.4870263528375912
2019-01-31,-0.3936862267140164,-0.42432715939132964
2019-02-01,-0.4713829485145128,-0.5552768765869753
2019-02-02,-0.5781412907279833,-0.691178348944497
2019-02-03,-0.645496137409848,-0.7334806663187154
2019-02-04,-0.22681284528718743,-0.23549320599866214
2019-02-05,-0.3963694305818114,-0.436171771137849
2019-02-06,-0.42582132424404096,-0.5169522865495154
2019-02-07,-0.4792592388344513,-0.5574298967206607
2019-02-08,-0.5698219831556183,-0.6600503248833685
2019-02-09,-0.6931629030274165,-0.8137187796308741
2019-02-10,-0.5222198613711904,-0.6454189151624832
2019-02-11,-0.4003200859964346,-0.4275092197918885
2019-02-12,-0.482463240706077,-0.5692829821685486
2019-02-13,-0.33600516600285535,-0.3864821110870611
2019-02-14,-0.4352025605438702,-0.4206168404834914
2019-02-15,-0.5018101291998509,-0.562381935112349
2019-02-16,-0.6229644308950059,-0.747253698384867
2019-02-17,-0.5186003582841231,-0.6377900293903666
2019-02-18,-0.4690855348373192,-0.4697691487155403
2019-02-19,-0.4023548749010299,-0.4761018249415164
2019-02-20,-0.4538459413855308,-0.529770397544286
2019-02-21,-0.4352491770309396,-0.5274464266720185
2019-02-22,-0.5195242067962297,-0.6100918623446535
2019-02-23,-0.6570290191787156,-0.7584233567095867
2019-02-24,-0.5117726259724639,-0.6138046350535663
2019-02-25,-0.439701574355624,-0.4646528021763593
2019-02-26,-0.5054709215276576,-0.5700417117530241
2019-02-27,-0.5570607215043161,-0.6181333188079647
2019-02-28,-0.533131001034019,-0.6192663776289504
2019-03-01,-0.577484106367727,-0.6901943904284832
2019-03-02,-0.6914137515787878,-0.8175185184594089
2019-03-03,-0.609899912512276,-0.6563417322772599
2019-03-04,-0.39723033509490124,-0.45992857985772523
2019-03-05,-0.48959519960600484,-0.5729247013573885
2019-03-06,-0.46222870374663205,-0.491853569304122
2019-03-07,-0.5234493919553284,-0.613423726837234
2019-03-08,-0.49158018667599634,-0.6538556738537283
2019-03-09,-0.7001854552021978,-0.8105652416007457
2019-03-10,-0.570928157945155,-0.7003520396086125
2019-03-11,-0.4937421810862,-0.5780031512004626
2019-03-12,-0.5486547185237753,-0.6394019459698077
2019-03-13,-0.5481718740294493,-0.6264340138314891
2019-03-14,-0.5333328007967334,-0.6086641088935728
2019-03-15,-0.6194691564376387,-0.7052541639837493
2019-03-16,-0.6513806578528573,-0.7340602852420645
2019-03-17,-0.504376706482563,-0.5724971221595447
2019-03-18,-0.46902022098570206,-0.525483600355861
2019-03-19,-0.5201168748505833,-0.6584040128524861
2019-03-20,-0.5307840958844106,-0.6627900643610436
2019-03-21,-0.5622732984126675,-0.6911167707432119
2019-03-22,-0.5883164984645843,-0.7324212451205622
2019-03-23,-0.6933834354028905,-0.8046656130757842
