Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0,2571,0,288,243,395,20,1134,5803,3159,1,7668,0
00:05,0,2576,0,292,245,396,20,1133,5837,3188,17,7538,0
00:10,0,2586,0,291,246,398,20,1133,5887,3234,4,7458,0
00:15,0,2605,0,289,245,397,20,1133,5832,3228,0,7356,0
00:20,0,2617,0,289,244,393,20,1133,5798,3207,-15,7291,0
00:25,0,2578,0,290,245,392,20,1133,5796,3202,-17,7237,0
00:30,0,2568,0,289,246,392,19,1133,5738,3196,0,7235,0
00:35,0,2643,0,291,246,394,20,1133,5613,3199,8,7255,0
00:40,0,2767,0,288,245,394,19,1133,5464,3182,-10,7244,0
00:45,0,2802,0,287,245,396,19,1133,5403,3144,-1,7238,0
00:50,0,2816,0,287,245,395,19,1134,5333,3160,-4,7186,0
00:55,0,2829,0,288,245,395,19,1134,5256,3164,-1,7127,0
01:00,0,2831,0,290,245,395,19,1134,5236,3161,-2,6957,0
01:05,0,2831,0,289,245,395,18,1134,5254,3082,-45,6955,0
01:10,0,2851,0,287,245,394,19,1133,5262,3068,-28,6897,0
01:15,0,2857,0,288,246,394,18,1134,5184,3054,-1,6817,0
01:20,0,2851,0,288,245,390,19,1134,5144,3024,31,6768,0
01:25,0,2859,0,290,246,392,19,1134,5102,3010,48,6719,0
01:30,0,2898,0,288,245,391,19,1134,5076,2996,9,6733,0
01:35,0,2930,0,290,245,394,18,1134,5019,2996,-2,6764,0
01:40,0,2946,0,290,246,396,18,1134,5004,2991,-17,6680,0
01:45,0,2940,0,288,245,398,19,1135,4997,2970,-7,6663,0
01:50,0,2941,0,287,245,386,18,1135,4898,2981,6,6621,0
01:55,0,2939,0,288,245,386,19,1135,4808,2981,30,6585,0
02:00,0,2951,0,288,245,386,19,1135,4774,2986,-8,6602,0
02:05,0,2957,0,289,245,386,19,1135,4750,3059,-22,6505,0
02:10,0,2967,0,285,245,386,20,1136,4761,3065,-25,6513,0
02:15,0,2987,0,289,244,387,20,1135,4763,3061,6,6456,0
02:20,0,2992,0,289,244,382,20,1135,4761,3048,22,6378,0
02:25,0,3002,0,291,245,382,20,1135,4760,3054,19,6326,0
02:30,0,3025,0,287,245,382,20,1136,4769,3067,22,6252,0
02:35,0,3056,0,289,244,385,20,1135,4731,3068,6,6244,0
02:40,0,3083,0,288,245,387,20,1136,4675,3061,-16,6217,0
02:45,0,3119,0,286,244,387,20,1136,4729,3053,16,6199,0
02:50,0,3157,0,288,245,387,21,1136,4697,3038,-5,6122,0
02:55,0,3186,0,288,245,387,21,1135,4714,3025,-14,6041,0
03:00,0,3207,0,288,245,387,20,1135,4742,3011,-41,5969,0
03:05,0,3202,0,291,244,386,20,1136,4882,3005,-51,5868,0
03:10,0,3186,0,294,245,386,21,1136,4815,3038,-4,5865,0
03:15,0,3169,0,292,245,387,21,1136,4801,3023,57,5814,0
03:20,0,3170,0,290,244,384,21,1135,4823,3016,21,5876,0
03:25,0,3181,0,291,244,382,21,1135,4823,3015,8,5835,0
03:30,0,3197,0,292,245,381,20,1135,4835,3016,-9,5852,0
03:35,0,3216,0,292,244,385,20,1135,4814,3019,5,5878,0
03:40,0,3233,0,289,244,386,20,1135,4791,3015,-4,5865,0
03:45,0,3241,0,288,244,385,20,1136,4874,3019,-13,5828,0
03:50,0,3247,0,287,244,385,20,1136,4884,3026,-13,5782,0
03:55,0,3247,0,284,244,386,20,1135,4848,3012,-7,5762,0
04:00,0,3280,0,277,244,385,20,1135,4834,3024,-27,5749,0
04:05,0,3291,0,281,244,384,20,1135,4961,3054,-82,5624,0
04:10,0,3305,0,283,244,383,20,1135,4918,3088,-21,5670,0
04:15,0,3333,0,284,243,384,20,1136,4779,3093,43,5740,0
04:20,0,3348,0,285,244,381,20,1135,4728,3100,75,5773,0
04:25,0,3352,0,286,244,381,20,1135,4773,3120,52,5745,0
04:30,0,3376,0,289,244,381,20,1135,4909,3133,2,5706,0
04:35,0,3388,0,288,244,384,20,1135,5057,3121,-8,5621,0
04:40,0,3405,0,289,244,386,20,1135,5134,3111,-8,5596,0
04:45,0,3420,0,289,244,386,20,1135,5229,3112,-5,5584,0
04:50,0,3433,0,288,244,387,20,1136,4957,3415,-18,5419,0
04:55,0,3451,0,288,244,387,20,1135,4839,3411,-49,5417,0
05:00,0,3445,0,288,244,393,20,1135,4888,3424,-87,5461,0
05:05,0,3445,0,287,244,400,20,1135,4893,3484,-60,5542,0
05:10,0,3457,0,286,244,408,20,1133,4837,3588,-21,5619,0
05:15,0,3476,0,286,244,415,20,1133,4825,3559,-32,5732,0
05:20,0,3483,0,288,244,414,20,1134,4886,3557,-12,5765,0
05:25,0,3482,0,291,244,414,20,1133,4944,3571,-7,5796,0
05:30,0,3476,0,292,243,415,20,1133,5052,3589,-5,5839,0
05:35,0,3473,0,292,244,417,20,1133,5091,3585,4,5879,0
05:40,0,3509,0,291,243,420,20,1133,5314,3582,2,5868,0
05:45,0,3533,0,290,243,420,20,1134,5505,3591,-10,5765,0
05:50,0,3586,0,292,243,420,20,1135,5633,3591,-26,5736,0
05:55,0,3608,0,293,242,428,19,1136,5703,3585,-24,5894,0
06:00,0,3623,0,287,240,460,18,1135,5885,3522,-57,6025,0
06:05,0,3623,0,287,238,490,18,1135,6164,3522,-12,6144,0
06:10,0,3652,0,287,238,571,19,1134,6022,3624,34,6348,0
06:15,0,3681,0,287,238,571,19,1135,6068,3631,25,6433,0
06:20,0,3730,0,290,238,578,19,1134,6087,3658,34,6588,0
06:25,0,3759,0,287,240,583,19,1135,6305,3681,17,6520,0
06:30,0,3803,0,285,239,582,19,1135,6508,3691,-11,6447,0
06:35,0,3830,0,287,240,569,19,1135,6779,3657,-25,6449,0
06:40,0,3853,0,289,239,533,19,1135,6931,3694,3,6469,0
06:45,0,3870,0,287,239,536,18,1135,6972,3697,18,6513,0
06:50,0,3889,0,289,238,536,19,1135,7195,3700,3,6517,0
06:55,0,3879,0,288,238,536,20,1135,7386,3706,-3,6526,0
07:00,0,3866,0,286,238,533,20,1136,7519,3706,-11,6573,0
07:05,0,3875,0,291,236,535,20,1135,7686,3706,4,6616,0
07:10,21,3896,0,291,236,528,20,1135,7746,3702,21,6664,0
07:15,74,3877,0,290,238,506,20,1135,7737,3716,39,6700,0
07:20,158,3866,0,289,236,495,21,1135,7711,3710,21,6723,0
07:25,273,3670,0,289,239,495,21,1135,7880,3705,22,6652,0
07:30,478,3749,0,286,236,495,21,1135,7795,3682,-13,6497,0
07:35,697,3877,0,288,236,496,21,1135,7578,3607,-69,6440,0
07:40,993,3882,0,289,237,498,21,1135,7464,3572,-88,6275,0
07:45,1302,3848,0,290,236,498,21,1135,7294,3599,-46,6002,0
07:50,1680,3843,0,289,235,501,21,1135,6750,3682,26,5977,0
07:55,2073,3841,0,289,235,503,21,1135,6364,3656,-10,5838,0
08:00,2475,3859,0,285,234,503,21,1135,6338,3584,-85,5538,0
08:05,2841,3823,0,285,235,502,20,1135,6191,3501,-87,5421,0
08:10,3255,3759,0,283,234,502,20,1135,6175,3452,-68,5187,0
08:15,3629,3729,0,285,234,503,20,1136,6016,3405,-82,4913,0
08:20,4120,3666,0,284,234,497,20,1135,5805,3403,-77,4686,0
08:25,4638,3635,0,284,233,497,20,1135,5534,3348,-107,4387,0
08:30,5068,3594,0,285,233,496,20,1135,5253,3234,-115,4238,0
08:35,5441,3607,0,286,234,498,20,1135,5228,3259,-51,3705,0
08:40,5793,3512,0,287,233,498,19,1135,5260,3303,-30,3065,0
08:45,6047,3462,0,286,234,498,18,1135,5257,3154,-38,2839,0
08:50,6274,3464,0,286,234,499,19,1136,5226,3034,-38,2700,0
08:55,6544,3433,0,283,233,484,19,1135,5131,2993,-48,2569,0
09:00,6688,3363,0,282,235,475,19,1135,5103,3041,63,2391,0
09:05,7347,3294,0,278,234,458,19,1136,4922,3022,33,1818,0
09:10,7774,3206,0,278,234,458,21,1136,4982,3010,-23,1750,0
09:15,7972,3138,0,277,234,457,21,1135,4871,3029,-7,1515,0
09:20,8146,3066,0,277,234,455,20,1135,4790,2875,2,1450,0
09:25,8326,3005,0,278,234,461,20,1135,4841,2904,-26,1200,0
09:30,8504,2967,0,278,234,464,20,1136,4791,2731,-51,1005,0
09:35,8624,2954,0,280,235,466,18,1135,4782,2626,-49,998,0
09:40,8620,2933,0,277,233,467,18,1135,4681,2617,1,1045,0
09:45,8699,2929,0,274,232,467,18,1135,4616,2590,-32,891,0
09:50,8708,2922,0,276,232,467,18,1135,4688,2577,-59,816,0
09:55,8962,2876,0,275,232,466,19,1135,4653,2499,-86,590,0
10:00,9136,2823,0,275,232,464,20,1135,4656,2501,-80,338,0
10:05,9260,2766,0,277,234,444,21,1135,4792,2349,15,258,0
10:10,9331,2750,0,276,232,427,21,1135,4868,2343,60,191,0
10:15,9402,2691,0,275,233,426,21,1135,4745,2380,7,98,0
10:20,9505,2599,0,276,234,422,21,1135,4757,2265,-19,129,0
